.,#,#,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,#,#,#,#,#,.,#,#,#,#,#,.,.,.,.,#,.,.,#,#,.,.,#,.,
#,.,#,#,#,#,#,#,.,#,#,.,#,#,#,#,.,.,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,.,#,#,#,#,.,#,#,.,.,.,
.,.,.,.,#,#,.,#,.,.,#,.,#,#,.,#,.,#,.,#,#,#,#,#,#,.,.,#,.,#,#,.,.,#,.,#,#,#,#,.,.,#,.,#,#,#,#,#,#,#,
#,#,.,.,.,.,#,#,#,.,.,.,.,.,.,#,.,.,#,.,.,#,.,.,#,#,#,#,.,#,#,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,.,.,
.,#,#,#,#,.,#,#,#,#,.,.,#,#,#,.,#,.,#,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,#,#,.,.,.,.,.,.,#,.,.,#,#,
.,.,.,.,.,.,.,#,#,#,#,#,#,.,#,#,#,.,.,#,#,#,.,.,#,#,.,#,.,.,#,#,#,.,.,#,#,.,#,.,.,#,#,.,#,#,#,#,.,.,
.,.,#,#,.,#,.,.,#,#,.,.,#,.,.,.,.,.,.,.,#,#,#,.,#,.,.,#,#,#,.,.,.,.,.,.,#,.,#,#,#,#,#,.,.,#,.,#,.,.,
#,#,.,#,.,.,.,.,.,.,.,.,#,#,.,#,#,.,#,.,.,.,.,.,#,.,.,.,.,#,.,#,#,.,#,.,#,#,#,.,.,#,.,#,.,#,#,#,#,.,
.,#,#,.,#,#,#,#,#,#,.,#,.,#,.,#,#,.,.,.,#,#,#,.,#,#,.,.,.,#,#,.,#,.,.,#,.,.,#,#,.,#,#,.,.,.,#,#,#,#,
#,.,#,#,.,.,.,.,#,#,.,.,#,#,.,#,.,#,#,#,.,.,#,.,#,#,#,.,#,.,#,#,.,#,.,.,#,.,.,#,#,.,#,.,.,.,.,.,#,.,
#,#,.,#,.,.,#,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,#,#,.,.,#,.,#,#,
.,#,#,#,#,#,#,.,.,#,.,.,#,.,#,#,#,#,#,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,#,#,.,#,#,#,.,#,#,#,#,.,.,.,#,
.,.,.,#,.,.,.,.,.,#,#,.,#,.,#,#,.,.,#,.,.,.,#,#,.,#,.,#,#,.,#,#,#,#,.,.,#,.,#,#,#,.,.,.,.,#,.,.,.,#,
#,#,.,#,.,#,#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,#,.,#,#,#,.,.,.,#,#,#,#,#,#,#,#,.,#,#,
#,.,.,#,.,#,#,#,.,#,#,#,#,#,#,#,.,#,#,#,#,#,#,#,#,.,#,#,.,#,.,#,#,#,.,#,#,.,.,.,#,#,.,.,#,.,#,.,#,#,
